onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	cadence_subtype	phraseend	a_phraseend	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	2	0.0	55	1	G	0	3.0	3	True	3	8	2	1	1/8	True	1	1	1	0	0a	3	0	True	True				{	False	0		G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		1	1	1	1	1	G	G	G	G	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
0	2	0.0	71	5	B	0	3.0	3	True	3	8	1	1	1/8	True	1	1	1	0	0a	4	0	True	True				{	False	0		G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		1	1	1	1	1	G	G	G	G	major triad	0	True	True	True	True	True	4	4	4	3	True	False	False
2	2	1.0	55	1	G	0	1.0	1	True	3	8	2	1	1/8	True	1	2	2	1	1a	3	1/2	False	False					False	0		G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		1	1	1	1	1	G	G	G	G	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
2	4	1.0	71	5	B	0	1.0	1	True	3	8	1	1	1/4	True	1	2	2	1	1a	4	1/2	False	False					False	0		G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		1	1	1	1	1	G	G	G	G	major triad	0	True	True	True	True	True	4	4	4	3	True	False	False
4	2	2.0	47	5	B	0	2.0	2	True	3	8	2	1	1/8	True	1	2	2	1	1a	2	1	False	True					False	1		I6	G	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		1	1	1	1	5	G	B	G	G	major triad	1	True	True	True	True	True	4	4	4	3	True	False	True
6	2	3.0	50	2	D	0	3.0	3	True	3	8	2	1	1/8	True	1	2	2	1	1a	3	3/2	False	True					False	2		V	G	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		1	1	1	2	2	D	D	G	G	major triad	0	True	True	True	True	True	1	1	1	5	True	True	True
6	2	3.0	69	3	A	0	3.0	3	True	3	8	1	1	1/8	True	1	2	2	1	1a	4	3/2	False	True					False	2		V	G	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		1	1	1	2	2	D	D	G	G	major triad	0	True	True	True	True	True	2	2	2	2	True	False	False
8	4	4.0	43	1	G	0	1.0	1	True	3	8	2	1	1/4	True	1	3	3	2	2a	2	2	False	True					False	3		I	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		1	1	1	1	1	G	G	G	G	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
8	2	4.0	67	1	G	0	1.0	1	True	3	8	1	1	1/8	True	1	3	3	2	2a	4	2	False	True					False	3		I	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		1	1	1	1	1	G	G	G	G	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
10	2	5.0	62	2	D	0	2.0	2	True	3	8	1	1	1/8	True	1	3	3	2	2a	4	5/2	False	False					False	3		I	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		1	1	1	1	1	G	G	G	G	major triad	0	True	True	True	True	True	1	1	1	5	True	False	False
12	2	6.0	55	1	G	0	3.0	3	True	3	8	2	1	1/8	True	1	3	3	2	2a	3	3	False	False					False	3		I	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		1	1	1	1	1	G	G	G	G	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
12	2	6.0	74	2	D	0	3.0	3	True	3	8	1	1	1/8	True	1	3	3	2	2a	5	3	False	False					False	3		I	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		1	1	1	1	1	G	G	G	G	major triad	0	True	True	True	True	True	1	1	1	5	True	False	False
14	2	7.0	54	6	F	1	1.0	1	True	3	8	2	1	1/8	True	1	4	4	3	3a	3	7/2	False	True					False	4		V65	G	I		V65	V		65			Mm7	False	False	(5, 2, -1, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V65	V65, major		V65, major		V	V7	5		1	1	1	2	6	D	F#	G	G	dominant seventh chord	1	True	True	True	True	True	5	5	5	7	True	False	True
14	4	7.0	74	2	D	0	1.0	1	True	3	8	1	1	1/4	True	1	4	4	3	3a	5	7/2	False	True					False	4		V65	G	I		V65	V		65			Mm7	False	False	(5, 2, -1, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V65	V65, major		V65, major		V	V7	5		1	1	1	2	6	D	F#	G	G	dominant seventh chord	1	True	True	True	True	True	1	1	1	5	True	True	False
16	2	8.0	50	2	D	0	2.0	2	True	3	8	2	1	1/8	True	1	4	4	3	3a	3	4	False	False					False	4		V65	G	I		V65	V		65			Mm7	False	False	(5, 2, -1, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V65	V65, major		V65, major		V	V7	5		1	1	1	2	6	D	F#	G	G	dominant seventh chord	1	True	True	True	True	True	1	1	1	5	True	True	False
18	2	9.0	54	6	F	1	3.0	3	True	3	8	2	1	1/8	True	1	4	4	3	3a	3	9/2	False	False					False	4		V65	G	I		V65	V		65			Mm7	False	False	(5, 2, -1, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V65	V65, major		V65, major		V	V7	5		1	1	1	2	6	D	F#	G	G	dominant seventh chord	1	True	True	True	True	True	5	5	5	7	True	False	True
18	2	9.0	72	0	C	0	3.0	3	True	3	8	1	1	1/8	True	1	4	4	3	3a	5	9/2	False	False					False	4		V65	G	I		V65	V		65			Mm7	False	False	(5, 2, -1, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V65	V65, major		V65, major		V	V7	5		1	1	1	2	6	D	F#	G	G	dominant seventh chord	1	True	True	True	True	True	-1	-1	-1	4	True	False	False
20	2	10.0	55	1	G	0	1.0	1	True	3	8	2	1	1/8	True	1	5	5	4	4a	3	5	False	True					False	5		I	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		1	1	1	1	1	G	G	G	G	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
20	2	10.0	71	5	B	0	1.0	1	True	3	8	1	1	1/8	True	1	5	5	4	4a	4	5	False	True					False	5		I	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		1	1	1	1	1	G	G	G	G	major triad	0	True	True	True	True	True	4	4	4	3	True	False	False
22	2	11.0	43	1	G	0	2.0	2	True	3	8	2	1	1/8	True	1	5	5	4	4a	2	11/2	False	False					False	5		I	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		1	1	1	1	1	G	G	G	G	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
22	2	11.0	67	1	G	0	2.0	2	True	3	8	1	1	1/8	True	1	5	5	4	4a	4	11/2	False	False					False	5		I	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		1	1	1	1	1	G	G	G	G	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
24	2	12.0	55	1	G	0	3.0	3	True	3	8	2	1	1/8	True	1	5	5	4	4a	3	6	False	False					False	5		I	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		1	1	1	1	1	G	G	G	G	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
24	2	12.0	79	1	G	0	3.0	3	True	3	8	1	1	1/8	True	1	5	5	4	4a	5	6	False	False					False	5		I	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		1	1	1	1	1	G	G	G	G	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
26	2	13.0	55	1	G	0	1.0	1	True	3	8	2	1	1/8	True	1	6	6	5	5a	3	13/2	False	False					False	6		I	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		1	1	1	1	1	G	G	G	G	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
26	4	13.0	79	1	G	0	1.0	1	True	3	8	1	1	1/4	True	1	6	6	5	5a	5	13/2	False	False					False	6		I	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		1	1	1	1	1	G	G	G	G	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
28	2	14.0	57	3	A	0	2.0	2	True	3	8	2	1	1/8	True	1	6	6	5	5a	3	7	False	False					False	6		I	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		1	1	1	1	1	G	G	G	G	major triad	0	True	True	True	True	True	2	2	2	2	False	False	False
30	2	15.0	59	5	B	0	3.0	3	True	3	8	2	1	1/8	True	1	6	6	5	5a	3	15/2	False	True					False	7		IM65	G	I		IM65	I	M	65			MM7	False	False	(4, 1, 5, 0)	()	0	4	major	major	I	I, major	I		I	I	False	IM65	IM65, major		IM65, major		I	I7	1		1	1	1	1	5	G	B	G	G	major seventh chord	1	True	True	True	True	True	4	4	4	3	True	False	True
30	2	15.0	78	6	F	1	3.0	3	True	3	8	1	1	1/8	True	1	6	6	5	5a	5	15/2	False	True					False	7		IM65	G	I		IM65	I	M	65			MM7	False	False	(4, 1, 5, 0)	()	0	4	major	major	I	I, major	I		I	I	False	IM65	IM65, major		IM65, major		I	I7	1		1	1	1	1	5	G	B	G	G	major seventh chord	1	True	True	True	True	True	5	5	5	7	True	False	False
32	2	16.0	60	0	C	0	1.0	1	True	3	8	2	1	1/8	True	1	7	7	6	6a	4	8	False	True					False	8		IV	G	I		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	IV	4		1	1	1	0	0	C	C	G	G	major triad	0	True	True	True	True	True	-1	-1	-1	4	True	True	True
32	2	16.0	76	4	E	0	1.0	1	True	3	8	1	1	1/8	True	1	7	7	6	6a	5	8	False	True					False	8		IV	G	I		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	IV	4		1	1	1	0	0	C	C	G	G	major triad	0	True	True	True	True	True	3	3	3	6	True	False	False
34	2	17.0	59	5	B	0	2.0	2	True	3	8	2	1	1/8	True	1	7	7	6	6a	3	17/2	False	False					False	8		IV	G	I		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	IV	4		1	1	1	0	0	C	C	G	G	major triad	0	True	True	True	True	True	4	4	4	3	False	False	False
34	2	17.0	78	6	F	1	2.0	2	True	3	8	1	1	1/8	True	1	7	7	6	6a	5	17/2	False	False					False	8		IV	G	I		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	IV	4		1	1	1	0	0	C	C	G	G	major triad	0	True	True	True	True	True	5	5	5	7	False	False	False
36	2	18.0	57	3	A	0	3.0	3	True	3	8	2	1	1/8	True	1	7	7	6	6a	3	9	False	True					False	9		ii7	G	I		ii7	ii		7			mm7	False	False	(2, -1, 3, 0)	()	2	2	major	major	I	I, major	ii		I	I	False	ii7	ii7, major		ii7, major		ii	ii7	2		1	1	1	3	3	A	A	G	G	minor seventh chord	7	True	True	True	True	True	2	2	2	2	True	True	True
36	2	18.0	79	1	G	0	3.0	3	True	3	8	1	1	1/8	True	1	7	7	6	6a	5	9	False	True					False	9		ii7	G	I		ii7	ii		7			mm7	False	False	(2, -1, 3, 0)	()	2	2	major	major	I	I, major	ii		I	I	False	ii7	ii7, major		ii7, major		ii	ii7	2		1	1	1	3	3	A	A	G	G	minor seventh chord	7	True	True	True	True	True	0	0	0	1	True	False	False
38	2	19.0	59	5	B	0	1.0	1	True	3	8	2	1	1/8	True	1	8	8	7	7a	3	19/2	False	True					False	10		I6	G	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		1	1	1	1	5	G	B	G	G	major triad	1	True	True	True	True	True	4	4	4	3	True	False	True
38	2	19.0	74	2	D	0	1.0	1	True	3	8	1	1	1/8	True	1	8	8	7	7a	5	19/2	False	True					False	10		I6	G	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		1	1	1	1	5	G	B	G	G	major triad	1	True	True	True	True	True	1	1	1	5	True	False	False
40	2	20.0	57	3	A	0	2.0	2	True	3	8	2	1	1/8	True	1	8	8	7	7a	3	10	False	False					False	10		I6	G	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		1	1	1	1	5	G	B	G	G	major triad	1	True	True	True	True	True	2	2	2	2	False	False	False
40	1	20.0	76	4	E	0	2.0	2	True	3	8	1	1	1/16	True	1	8	8	7	7a	5	10	False	False					False	10		I6	G	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		1	1	1	1	5	G	B	G	G	major triad	1	True	True	True	True	True	3	3	3	6	False	False	False
41	1	20.5	74	2	D	0	2.5	0	False	3	8	1	1	1/16	True	1	8	8	7	7a	5	41/4	False	False					False	10		I6	G	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		1	1	1	1	5	G	B	G	G	major triad	1	True	True	True	True	True	1	1	1	5	True	False	False
42	2	21.0	55	1	G	0	3.0	3	True	3	8	2	1	1/8	True	1	8	8	7	7a	3	21/2	False	True					False	11		I	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		1	1	1	1	1	G	G	G	G	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
42	1	21.0	72	0	C	0	3.0	3	True	3	8	1	1	1/16	True	1	8	8	7	7a	5	21/2	False	True					False	11		I	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		1	1	1	1	1	G	G	G	G	major triad	0	True	True	True	True	True	-1	-1	-1	4	False	False	False
43	1	21.5	71	5	B	0	3.5	0	False	3	8	1	1	1/16	True	1	8	8	7	7a	4	43/4	False	False					False	11		I	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		1	1	1	1	1	G	G	G	G	major triad	0	True	True	True	True	True	4	4	4	3	True	False	False
44	4	22.0	62	2	D	0	1.0	1	True	3	8	2	1	1/4	True	1	9	9	8	8a	4	11	False	True	HC.SIM	HC	SIM	}	True	12		V|HC.SIM}	G	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		1	1	1	2	2	D	D	G	G	major triad	0	True	True	True	True	True	1	1	1	5	True	True	True
