onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	2	0.0	55	1	G	0	1.0	1	True	2	4	3	1	1/8	True	-2	1	1	1	1a	3	0	True	True				False	0		Bb.vi		Bb	I		vi	vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major		vi, major		vi	vi	6		-2	-2	-2	1	1	G	G	Bb	Bb	minor triad	0	True	False	True	True	True	3	3	3	6	True	True	True
2	2	0.5	67	1	G	0	1.5	0	False	2	4	3	1	1/8	True	-2	1	1	1	1a	4	1/2	False	False				False	0		Bb.vi		Bb	I		vi	vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major		vi, major		vi	vi	6		-2	-2	-2	1	1	G	G	Bb	Bb	minor triad	0	True	False	True	True	True	3	3	3	6	True	True	True
4	2	1.0	55	1	G	0	2.0	2	True	2	4	3	1	1/8	True	-2	1	1	1	1a	3	1	False	False				False	0		Bb.vi		Bb	I		vi	vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major		vi, major		vi	vi	6		-2	-2	-2	1	1	G	G	Bb	Bb	minor triad	0	True	False	True	True	True	3	3	3	6	True	True	True
6	2	1.5	67	1	G	0	2.5	0	False	2	4	3	1	1/8	True	-2	1	1	1	1a	4	3/2	False	False				False	0		Bb.vi		Bb	I		vi	vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major		vi, major		vi	vi	6		-2	-2	-2	1	1	G	G	Bb	Bb	minor triad	0	True	False	True	True	True	3	3	3	6	True	True	True
8	2	2.0	55	1	G	0	1.0	1	True	2	4	3	1	1/8	True	-2	2	2	2	2a	3	2	False	False				False	0		Bb.vi		Bb	I		vi	vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major		vi, major		vi	vi	6		-2	-2	-2	1	1	G	G	Bb	Bb	minor triad	0	True	False	True	True	True	3	3	3	6	True	True	True
10	2	2.5	67	1	G	0	1.5	0	False	2	4	3	1	1/8	True	-2	2	2	2	2a	4	5/2	False	False				False	0		Bb.vi		Bb	I		vi	vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major		vi, major		vi	vi	6		-2	-2	-2	1	1	G	G	Bb	Bb	minor triad	0	True	False	True	True	True	3	3	3	6	True	True	True
12	2	3.0	55	1	G	0	2.0	2	True	2	4	3	1	1/8	True	-2	2	2	2	2a	3	3	False	False				False	0		Bb.vi		Bb	I		vi	vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major		vi, major		vi	vi	6		-2	-2	-2	1	1	G	G	Bb	Bb	minor triad	0	True	False	True	True	True	3	3	3	6	True	True	True
14	2	3.5	67	1	G	0	2.5	0	False	2	4	3	1	1/8	True	-2	2	2	2	2a	4	7/2	False	False				False	0		Bb.vi		Bb	I		vi	vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major		vi, major		vi	vi	6		-2	-2	-2	1	1	G	G	Bb	Bb	minor triad	0	True	False	True	True	True	3	3	3	6	True	True	True
16	2	4.0	55	1	G	0	1.0	1	True	2	4	3	1	1/8	True	-2	3	3	3	3a	3	4	True	True				False	1		vi[V7/ii		Bb	I	vi	V7/ii	V		7		ii	Mm7	False	False	(3, 7, 4, 1)	()	3	3	major	major	I	I, major	V/ii	ii	ii/I	ii	True	V7/ii	V7/ii, major	vi	V7/ii, major	ii	ii	V7	5	2	-2	-2	0	1	1	G	G	Bb	C	dominant seventh chord	7	True	False	True	True	True	3	3	1	6	True	True	True
16	2	4.0	67	1	G	0	1.0	1	True	2	4	1	1	1/8	True	-2	3	3	3	3a	4	4	True	True				False	1		vi[V7/ii		Bb	I	vi	V7/ii	V		7		ii	Mm7	False	False	(3, 7, 4, 1)	()	3	3	major	major	I	I, major	V/ii	ii	ii/I	ii	True	V7/ii	V7/ii, major	vi	V7/ii, major	ii	ii	V7	5	2	-2	-2	0	1	1	G	G	Bb	C	dominant seventh chord	7	True	False	True	True	True	3	3	1	6	True	True	True
18	2	4.5	67	1	G	0	1.5	0	False	2	4	3	1	1/8	True	-2	3	3	3	3a	4	9/2	False	False				False	1		vi[V7/ii		Bb	I	vi	V7/ii	V		7		ii	Mm7	False	False	(3, 7, 4, 1)	()	3	3	major	major	I	I, major	V/ii	ii	ii/I	ii	True	V7/ii	V7/ii, major	vi	V7/ii, major	ii	ii	V7	5	2	-2	-2	0	1	1	G	G	Bb	C	dominant seventh chord	7	True	False	True	True	True	3	3	1	6	True	True	True
18	1	4.5	71	5	B	0	1.5	0	False	2	4	1	1	1/16	True	-2	3	3	3	3a	4	9/2	False	False				False	1		vi[V7/ii		Bb	I	vi	V7/ii	V		7		ii	Mm7	False	False	(3, 7, 4, 1)	()	3	3	major	major	I	I, major	V/ii	ii	ii/I	ii	True	V7/ii	V7/ii, major	vi	V7/ii, major	ii	ii	V7	5	2	-2	-2	0	1	1	G	G	Bb	C	dominant seventh chord	7	True	False	True	True	True	7	7	5	#1	True	False	False
19	1	4.75	74	2	D	0	1.75	0	False	2	4	1	1	1/16	True	-2	3	3	3	3a	5	19/4	False	False				False	1		vi[V7/ii		Bb	I	vi	V7/ii	V		7		ii	Mm7	False	False	(3, 7, 4, 1)	()	3	3	major	major	I	I, major	V/ii	ii	ii/I	ii	True	V7/ii	V7/ii, major	vi	V7/ii, major	ii	ii	V7	5	2	-2	-2	0	1	1	G	G	Bb	C	dominant seventh chord	7	True	False	True	True	True	4	4	2	3	True	False	False
20	2	5.0	55	1	G	0	2.0	2	True	2	4	3	1	1/8	True	-2	3	3	3	3a	3	5	False	False				False	1		vi[V7/ii		Bb	I	vi	V7/ii	V		7		ii	Mm7	False	False	(3, 7, 4, 1)	()	3	3	major	major	I	I, major	V/ii	ii	ii/I	ii	True	V7/ii	V7/ii, major	vi	V7/ii, major	ii	ii	V7	5	2	-2	-2	0	1	1	G	G	Bb	C	dominant seventh chord	7	True	False	True	True	True	3	3	1	6	True	True	True
20	2	5.0	59	5	B	0	2.0	2	True	2	4	2	1	1/8	True	-2	3	3	3	3a	3	5	False	False				False	1		vi[V7/ii		Bb	I	vi	V7/ii	V		7		ii	Mm7	False	False	(3, 7, 4, 1)	()	3	3	major	major	I	I, major	V/ii	ii	ii/I	ii	True	V7/ii	V7/ii, major	vi	V7/ii, major	ii	ii	V7	5	2	-2	-2	0	1	1	G	G	Bb	C	dominant seventh chord	7	True	False	True	True	True	7	7	5	#1	True	False	False
20	2	5.0	62	2	D	0	2.0	2	True	2	4	4	1	1/8	True	-2	3	3	3	3a	4	5	False	False				False	1		vi[V7/ii		Bb	I	vi	V7/ii	V		7		ii	Mm7	False	False	(3, 7, 4, 1)	()	3	3	major	major	I	I, major	V/ii	ii	ii/I	ii	True	V7/ii	V7/ii, major	vi	V7/ii, major	ii	ii	V7	5	2	-2	-2	0	1	1	G	G	Bb	C	dominant seventh chord	7	True	False	True	True	True	4	4	2	3	True	False	False
