s_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset
0.0	0.25	0	['B-3', 'D4']	['M3']	[True, True]
0.25	0.25	0	['A3', 'D4']	['P4']	[True, False]
0.5	0.25	0	['B-3', 'D4']	['M3']	[True, False]
0.75	0.25	0	['F3', 'D4']	['M6']	[True, False]
1.0	1.0	1	['B-1', 'B-2', 'D4', 'F4']	['P1', 'M3', 'P5']	[True, True, True, True]
2.0	1.0	1	['B-1', 'B-2', 'B-3', 'D4']	['P1', 'P1', 'M3']	[True, True, True, True]
3.0	1.0	1			
4.0	0.25	1	['B-3', 'D4']	['M3']	[True, True]
4.25	0.25	1	['A3', 'D4']	['P4']	[True, False]
4.5	0.25	1	['B-3', 'D4']	['M3']	[True, False]
4.75	0.25	1	['F3', 'D4']	['M6']	[True, False]
5.0	1.0	2	['B-1', 'B-2', 'D4', 'F4']	['P1', 'M3', 'P5']	[True, True, True, True]
6.0	1.0	2	['B-1', 'B-2', 'B-3', 'D4']	['P1', 'P1', 'M3']	[True, True, True, True]
7.0	1.0	2			
8.0	0.25	2	['B-3', 'D4']	['M3']	[True, True]
8.25	0.25	2	['A3', 'D4']	['P4']	[True, False]
8.5	0.25	2	['B-3', 'D4']	['M3']	[True, False]
8.75	0.25	2	['F3', 'D4']	['M6']	[True, False]
9.0	0.25	3	['D4', 'F4']	['m3']	[True, True]
9.25	0.25	3	['C#4', 'F4']	['d4']	[True, False]
9.5	0.25	3	['D4', 'F4']	['m3']	[True, False]
9.75	0.25	3	['B-3', 'F4']	['P5']	[True, False]
10.0	0.25	3	['F4', 'B-4']	['P4']	[True, True]
10.25	0.25	3	['E4', 'B-4']	['d5']	[True, False]
10.5	0.25	3	['F4', 'B-4']	['P4']	[True, False]
10.75	0.25	3	['D4', 'B-4']	['m6']	[True, False]
11.0	0.25	3	['B-4', 'D5']	['M3']	[True, True]
11.25	0.25	3	['A4', 'D5']	['P4']	[True, False]
11.5	0.25	3	['B-4', 'D5']	['M3']	[True, False]
11.75	0.25	3	['F4', 'D5']	['M6']	[True, False]
12.0	0.25	3	['D5', 'F5']	['m3']	[True, True]
12.25	0.25	3	['C#5', 'F5']	['d4']	[True, False]
12.5	0.25	3	['D5', 'F5']	['m3']	[True, False]
12.75	0.25	3	['B-4', 'F5']	['P5']	[True, False]
13.0	0.25	4	['B-2', 'B-5']	['P1']	[True, True]
13.25	0.25	4	['D3', 'B-5']	['m6']	[True, False]
13.5	0.25	4	['F3', 'B-5']	['P4']	[True, False]
13.75	0.25	4	['B-3', 'B-5']	['P1']	[True, False]
14.0	0.25	4	['B-2', 'B-5']	['P1']	[True, False]
14.25	0.25	4	['D3', 'B-5']	['m6']	[True, False]
14.5	0.25	4	['F3', 'B-5']	['P4']	[True, False]
14.75	0.25	4	['B-3', 'B-5']	['P1']	[True, False]
15.0	0.25	4	['B-2', 'B-5']	['P1']	[True, False]
15.25	0.25	4	['D3', 'B-5']	['m6']	[True, False]
15.5	0.25	4	['F3', 'B-5']	['P4']	[True, False]
15.75	0.25	4	['B-3', 'B-5']	['P1']	[True, False]
16.0	0.25	4	['B-2', 'A5']	['M7']	[True, True]
16.25	0.25	4	['D3', 'B-5']	['m6']	[True, True]
16.5	0.25	4	['F3', 'C6']	['P5']	[True, True]
16.75	0.25	4	['B-3', 'B-5']	['P1']	[True, True]
17.0	0.25	5	['B-2', 'A5']	['M7']	[True, True]
17.25	0.25	5	['E-3', 'A5']	['A4']	[True, False]
17.5	0.25	5	['G3', 'G5']	['P1']	[True, True]
17.75	0.25	5	['B-3', 'G5']	['M6']	[True, False]
18.0	0.25	5	['B-2', 'F5']	['P5']	[True, True]
18.25	0.25	5	['E-3', 'F5']	['M2']	[True, False]
18.5	0.25	5	['G3', 'E-5']	['m6']	[True, True]
18.75	0.25	5	['B-3', 'E-5']	['P4']	[True, False]
19.0	0.25	5	['B-2', 'D5']	['M3']	[True, True]
19.25	0.25	5	['E-3', 'D5']	['M7']	[True, False]
19.5	0.25	5	['G3', 'C5']	['P4']	[True, True]
19.75	0.25	5	['A3', 'C5']	['m3']	[True, False]
20.0	0.25	5	['B-2', 'G5']	['M6']	[True, True]
20.25	0.25	5	['E-3', 'G5']	['M3']	[True, False]
20.5	0.25	5	['G3', 'F5']	['m7']	[True, True]
20.75	0.25	5	['A3', 'F5']	['m6']	[True, False]
21.0	0.25	6	['B-2', 'E-5']	['P4']	[True, True]
21.25	0.25	6	['D3', 'E-5']	['m2']	[True, False]
21.5	0.25	6	['F3', 'E-5']	['m7']	[True, False]
21.75	0.25	6	['B-3', 'E-5']	['P4']	[True, False]
22.0	0.25	6	['B-2', 'D5']	['M3']	[True, True]
