s_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset
0.0	0.125	0	['D5']	[]	[True]
0.125	0.125	0	['E5']	[]	[True]
0.25	0.125	0	['F#5']	[]	[True]
0.375	0.125	0	['G5']	[]	[True]
0.5	0.125	1	['G2', 'A5']	['M2']	[True, True]
0.625	0.125	1	['G2', 'B5']	['M3']	[False, True]
0.75	0.125	1	['D3', 'A3', 'A5']	['P5', 'P5']	[True, True, True]
0.875	0.125	1	['D3', 'A3', 'F#5']	['P5', 'M3']	[False, False, True]
1.0	0.125	1	['D5']	[]	[True]
1.125	0.125	1	['E5']	[]	[True]
1.25	0.125	1	['F#5']	[]	[True]
1.375	0.125	1	['G5']	[]	[True]
1.5	0.125	2	['G2', 'A5']	['M2']	[True, True]
1.625	0.125	2	['G2', 'B5']	['M3']	[False, True]
1.75	0.125	2	['D3', 'A3', 'A5']	['P5', 'P5']	[True, True, True]
1.875	0.125	2	['D3', 'A3', 'F#5']	['P5', 'M3']	[False, False, True]
2.0	0.125	2	['D5']	[]	[True]
2.125	0.125	2	['E5']	[]	[True]
2.25	0.125	2	['F#5']	[]	[True]
2.375	0.125	2	['G5']	[]	[True]
2.5	0.125	3	['G2', 'A5']	['M2']	[True, True]
2.625	0.125	3	['G2', 'B5']	['M3']	[False, True]
2.75	0.125	3	['D3', 'A5']	['P5']	[True, True]
2.875	0.125	3	['D3', 'F#5']	['M3']	[False, True]
3.0	0.125	3	['G2', 'A#5']	['A2']	[True, True]
3.125	0.125	3	['G2', 'B5']	['M3']	[False, True]
3.25	0.125	3	['D3', 'A#5']	['A5']	[True, True]
3.375	0.125	3	['D3', 'F#5']	['M3']	[False, True]
3.5	0.125	4	['G2', 'A#5']	['A2']	[True, True]
3.625	0.125	4	['G2', 'B5']	['M3']	[False, True]
3.75	0.125	4	['D3', 'A#5']	['A5']	[True, True]
3.875	0.125	4	['D3', 'F#5']	['M3']	[False, True]
4.0	0.125	4	['G2', 'D5', 'G5']	['P5', 'P1']	[True, True, True]
4.125	0.125	4	['G2', 'D5', 'A5']	['P5', 'M2']	[False, False, True]
4.25	0.125	4	['D3', 'D5', 'B5']	['P1', 'M6']	[True, True, True]
4.375	0.125	4	['D3', 'D5', 'C6']	['P1', 'm7']	[False, False, True]
4.5	0.125	5	['G3', 'G5', 'D6']	['P1', 'P5']	[True, True, True]
4.625	0.125	5	['G3', 'G5', 'E6']	['P1', 'M6']	[False, False, True]
4.75	0.125	5	['B3', 'G4', 'G5', 'D6']	['m6', 'm6', 'm3']	[True, True, False, True]
4.875	0.125	5	['B3', 'G4', 'G5']	['m6', 'm6']	[False, False, True]
5.0	0.125	5	['G3', 'C#5', 'E6']	['A4', 'M6']	[True, True, True]
5.125	0.125	5	['G3', 'C#5', 'F#6']	['A4', 'M7']	[False, False, True]
5.25	0.125	5	['A#3', 'G4', 'C#5', 'E6']	['d7', 'm3', 'd5']	[True, True, True, True]
5.375	0.125	5	['A#3', 'G4', 'C#5', 'G5']	['d7', 'm3', 'd7']	[False, False, False, True]
5.5	0.125	6	['G3', 'D5', 'D6']	['P5', 'P5']	[True, True, True]
5.625	0.125	6	['G3', 'D5', 'E6']	['P5', 'M6']	[False, False, True]
5.75	0.125	6	['B3', 'G4', 'D5', 'D6']	['m6', 'm3', 'm3']	[True, True, True, True]
5.875	0.125	6	['B3', 'G4', 'D5', 'G5']	['m6', 'm3', 'm6']	[False, False, False, True]
6.0	0.125	6	['G3', 'G4', 'C6']	['P1', 'P4']	[True, True, True]
6.125	0.125	6	['G3', 'G4', 'D6']	['P1', 'P5']	[False, False, True]
6.25	0.125	6	['C4', 'G4', 'A4', 'C6']	['P5', 'M6', 'P1']	[True, True, True, True]
6.375	0.125	6	['C4', 'G4', 'A4', 'E5']	['P5', 'M6', 'M3']	[False, False, False, True]
6.5	0.125	7	['G3', 'B4', 'B5']	['M3', 'M3']	[True, True, True]
6.625	0.125	7	['G3', 'B4', 'C6']	['M3', 'P4']	[False, False, True]
6.75	0.125	7	['D4', 'G4', 'B4', 'B5']	['P4', 'M6', 'M6']	[True, True, False, True]
6.875	0.125	7	['D4', 'G4', 'B4', 'D5']	['P4', 'M6', 'P1']	[False, False, True, True]
7.0	0.125	7	['G3', 'C#5', 'B-5']	['A4', 'm3']	[True, True, True]
7.125	0.125	7	['G3', 'C#5', 'C6']	['A4', 'P4']	[False, False, True]
7.25	0.125	7	['E-4', 'G4', 'C#5', 'B-5']	['M3', 'A6', 'P5']	[True, True, True, True]
7.375	0.125	7	['E-4', 'G4', 'C#5']	['M3', 'A6']	[False, False, False]
7.5	0.125	8	['G3', 'D5', 'A5']	['P5', 'M2']	[True, True, True]
7.625	0.125	8	['G3', 'D5', 'B5']	['P5', 'M3']	[False, False, True]
7.75	0.125	8	['C4', 'F#4', 'D5', 'A5']	['A4', 'M2', 'M6']	[True, True, False, True]
7.875	0.125	8	['C4', 'F#4', 'D5']	['A4', 'M2']	[False, False, False]
8.0	0.125	8	['G2', 'E5', 'G5']	['M6', 'P1']	[True, True, True]
8.125	0.125	8	['G2', 'E5', 'A5']	['M6', 'M2']	[False, False, True]
8.25	0.125	8	['D3', 'F#5', 'B5']	['M3', 'M6']	[True, True, True]
8.375	0.125	8	['D3', 'F#5', 'C6']	['M3', 'm7']	[False, False, True]
