s_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset
0.0	1.0	1	['G3', 'B3', 'D4', 'G4']	['M3', 'P5', 'P1']	[True, True, True, True]
1.0	0.5	1	['C3', 'C4', 'E4', 'G4']	['P1', 'M3', 'P5']	[True, True, True, True]
1.5	0.5	1	['C3', 'C4', 'F#4', 'A4']	['P1', 'A4', 'M6']	[False, False, True, True]
2.0	0.5	1	['G2', 'D4', 'G4', 'B4']	['P5', 'P1', 'M3']	[True, True, True, True]
2.5	0.5	1	['G3', 'D4', 'G4', 'B4']	['P5', 'P1', 'M3']	[True, False, False, False]
3.0	0.5	1	['A3', 'C4', 'F#4', 'C5']	['m3', 'M6', 'm3']	[True, True, True, True]
3.5	0.5	1	['A3', 'C4', 'E4', 'C5']	['m3', 'P5', 'm3']	[False, False, True, False]
4.0	0.25	2	['B3', 'D4', 'D5']	['m3', 'm3']	[True, True, True]
4.25	0.25	2	['B3', 'C4', 'D4', 'D5']	['m2', 'm3', 'm3']	[False, True, False, False]
4.5	0.5	2	['A3', 'D4', 'F#4', 'D5']	['P4', 'M6', 'P4']	[True, True, True, False]
5.0	0.5	2	['G3', 'D4', 'B4', 'E5']	['P5', 'M3', 'M6']	[True, False, True, True]
5.5	0.5	2	['A3', 'C#4', 'A4', 'E5']	['M3', 'P1', 'P5']	[True, True, True, False]
6.0	2.0	2	['D3', 'D4', 'F#4', 'D5']	['P1', 'M3', 'P1']	[True, True, True, True]
8.0	0.5	3	['A3', 'C4', 'A4', 'E5']	['m3', 'P1', 'P5']	[True, True, True, True]
8.5	0.5	3	['A3', 'B3', 'A4', 'E5']	['M2', 'P1', 'P5']	[False, True, False, False]
9.0	0.5	3	['D3', 'C4', 'A4', 'F#5']	['m7', 'P5', 'M3']	[True, True, True, True]
9.5	0.5	3	['D3', 'D4', 'A4', 'F#5']	['P1', 'P5', 'M3']	[False, True, False, False]
10.0	1.0	3	['E3', 'B3', 'G4', 'G5']	['P5', 'm3', 'm3']	[True, True, True, True]
11.0	1.0	3	['F#3', 'A3', 'A4', 'D5']	['m3', 'm3', 'm6']	[True, True, True, True]
12.0	0.5	4	['G3', 'D4', 'G4', 'B4']	['P5', 'P1', 'M3']	[True, True, True, True]
12.5	0.5	4	['G3', 'D4', 'F#4', 'B4']	['P5', 'M7', 'M3']	[False, False, True, False]
13.0	1.0	4	['A3', 'E4', 'C#5']	['P5', 'M3']	[True, True, True]
14.0	2.0	4	['D3', 'A3', 'F#4', 'D5']	['P5', 'M3', 'P1']	[True, True, True, True]
16.0	1.0	5	['E3', 'G3', 'E4', 'C5']	['m3', 'P1', 'm6']	[True, True, True, True]
17.0	1.0	5	['F#3', 'A3', 'D4', 'A4']	['m3', 'm6', 'm3']	[True, True, True, True]
18.0	0.5	5	['G3', 'D4', 'B4']	['P5', 'M3']	[True, True, True]
18.5	0.5	5	['F#3', 'G3', 'D4', 'B4']	['m2', 'm6', 'P4']	[True, False, False, False]
19.0	1.0	5	['E3', 'G3', 'C4', 'C5']	['m3', 'm6', 'm6']	[True, True, True, True]
20.0	0.5	6	['D3', 'G3', 'D4', 'B4']	['P4', 'P1', 'M6']	[True, True, True, True]
20.5	0.5	6	['C3', 'G3', 'D4', 'B4']	['P5', 'M2', 'M7']	[True, False, False, False]
21.0	0.5	6	['D3', 'F#3', 'D4', 'A4']	['M3', 'P1', 'P5']	[True, True, False, True]
21.5	0.5	6	['D3', 'F#3', 'C4', 'A4']	['M3', 'm7', 'P5']	[False, False, True, False]
22.0	2.0	6	['G2', 'G3', 'B3', 'G4']	['P1', 'M3', 'P1']	[True, True, True, True]
24.0	1.0	7	['D3', 'A3', 'D4', 'F#4']	['P5', 'P1', 'M3']	[True, True, True, True]
25.0	0.5	7	['E3', 'G3', 'C#4', 'G4']	['m3', 'M6', 'm3']	[True, True, True, True]
25.5	0.5	7	['E3', 'G3', 'B3', 'G4']	['m3', 'P5', 'm3']	[False, False, True, False]
26.0	0.5	7	['F#3', 'A3', 'D4', 'A4']	['m3', 'm6', 'm3']	[True, True, True, True]
26.5	0.5	7	['F#3', 'A3', 'C#4', 'A4']	['m3', 'P5', 'm3']	[False, False, True, False]
27.0	1.0	7	['G3', 'B3', 'D4', 'B4']	['M3', 'P5', 'M3']	[True, True, True, True]
28.0	1.0	8	['C#3', 'E3', 'E4', 'A4']	['m3', 'm3', 'm6']	[True, True, True, True]
29.0	0.5	8	['A2', 'A3', 'E4', 'A4']	['P1', 'P5', 'P1']	[True, True, False, False]
29.5	0.5	8	['A2', 'A3', 'E4', 'G4']	['P1', 'P5', 'm7']	[False, False, False, True]
30.0	0.5	8	['D3', 'A3', 'E4', 'F#4']	['P5', 'M2', 'M3']	[True, False, False, True]
30.5	0.5	8	['D3', 'A3', 'D4', 'F#4']	['P5', 'P1', 'M3']	[False, False, True, False]
31.0	0.5	8	['A2', 'G3', 'D4', 'E4']	['m7', 'P4', 'P5']	[True, True, False, True]
31.5	0.5	8	['A2', 'G3', 'C#4', 'E4']	['m7', 'M3', 'P5']	[False, False, True, False]
32.0	4.0	9	['D3', 'F#3', 'A3', 'D4']	['M3', 'P5', 'P1']	[True, True, True, True]
36.0	1.0	10	['B2', 'G3', 'D4', 'G4']	['m6', 'm3', 'm6']	[True, True, True, True]
