onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ks_fifths	ts_beats	ts_beat_type	measureNumberWithSuffix	onset_beat	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	is_downbeat	downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral	valid_chord_label	note_degree
42	3	1.75	7/4	0.125	1/8	1	-1	2	4	1	1.75	G3	55	True	G	0	7/16	2.75	False	0	Cello	1	2	2.0	1	iv	False	('D-', 'F', 'B-')	D-	B-	1	minor triad	(1, 5, 10)	F	F	4	None	iv	False	2
45	3	1.875	15/8	0.125	1/8	1	-1	2	4	1	1.875	A3	57	True	A	0	15/32	2.875	False	0	Cello	1	2	2.0	1	iv	False	('D-', 'F', 'B-')	D-	B-	1	minor triad	(1, 5, 10)	F	F	4	None	iv	False	3
48	0	2.0	2	0.0	0	2	-1	2	4	2	2.0	F3	53	True	F	0	0	1.0	True	1	Cello	1	2	2.0	1	iv	True	('D-', 'F', 'B-')	D-	B-	1	minor triad	(1, 5, 10)	F	F	4	None	iv	True	1
48	24	2.0	2	1.0	1	2	-1	2	4	2	2.0	B-3	58	True	B	-1	0	1.0	True	1	Cello	1	2	2.0	1	iv	True	('D-', 'F', 'B-')	D-	B-	1	minor triad	(1, 5, 10)	F	F	4	None	iv	True	4
72	21	3.0	3	0.875	7/8	2	-1	2	4	2	3.0	F3	53	True	F	0	1/4	2.0	True	2	Cello	1	2	2.0	1	iv	False	('D-', 'F', 'B-')	D-	B-	1	minor triad	(1, 5, 10)	F	F	4	None	iv	True	1
72	24	3.0	3	1.0	1	2	-1	2	4	2	3.0	D-2	37	True	D	-1	1/4	2.0	True	2	Cello	1	2	2.0	1	iv	False	('D-', 'F', 'B-')	D-	B-	1	minor triad	(1, 5, 10)	F	F	4	None	iv	True	b6
93	3	3.875	31/8	0.125	1/8	2	-1	2	4	2	3.875	G3	55	True	G	0	15/32	2.875	False	0	Cello	1	2	2.0	1	iv	False	('D-', 'F', 'B-')	D-	B-	1	minor triad	(1, 5, 10)	F	F	4	None	iv	True	2
96	12	4.0	4	0.5	1/2	3	-1	2	4	3	4.0	E3	52	True	E	0	0	1.0	True	1	Cello	1	3	2.0	2	V7	True	('C', 'E', 'G', 'B-')	C	C	0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None	V7	True	7
96	12	4.0	4	0.5	1/2	3	-1	2	4	3	4.0	C2	36	True	C	0	0	1.0	True	1	Cello	1	3	2.0	2	V7	True	('C', 'E', 'G', 'B-')	C	C	0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None	V7	True	5
102	3	4.25	17/4	0.125	1/8	3	-1	2	4	3	4.25	G4	67	True	G	0	1/16	1.25	False	0	Cello	1	3	2.0	2	V7	False	('C', 'E', 'G', 'B-')	C	C	0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None	V7	True	2
105	3	4.375	35/8	0.125	1/8	3	-1	2	4	3	4.375	A4	69	True	A	0	3/32	1.375	False	0	Cello	1	3	2.0	2	V7	False	('C', 'E', 'G', 'B-')	C	C	0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None	V7	True	3
108	12	4.5	9/2	0.5	1/2	3	-1	2	4	3	4.5	B-4	70	True	B	-1	1/8	1.5	False	0	Cello	1	3	2.0	2	V7	False	('C', 'E', 'G', 'B-')	C	C	0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None	V7	True	4
138	3	5.75	23/4	0.125	1/8	3	-1	2	4	3	5.75	G3	55	True	G	0	7/16	2.75	False	0	Cello	1	3	2.0	2	V7	False	('C', 'E', 'G', 'B-')	C	C	0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None	V7	True	2
141	3	5.875	47/8	0.125	1/8	3	-1	2	4	3	5.875	A3	57	True	A	0	15/32	2.875	False	0	Cello	1	3	2.0	2	V7	False	('C', 'E', 'G', 'B-')	C	C	0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None	V7	True	3
144	24	6.0	6	1.0	1	4	-1	2	4	4	6.0	B-3	58	True	B	-1	0	1.0	True	1	Cello	1	4	1.0	3	V7	True	('C', 'E', 'G', 'B-')	C	C	0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None	V7	True	4
168	24	7.0	7	1.0	1	4	-1	2	4	4	7.0	B-3	58	True	B	-1	1/4	2.0	True	2	Cello	1	4	1.0	4	iv	True	('D-', 'F', 'B-')	D-	B-	1	minor triad	(1, 5, 10)	F	F	4	None	iv	True	4
168	21	7.0	7	0.875	7/8	4	-1	2	4	4	7.0	F3	53	True	F	0	1/4	2.0	True	2	Cello	1	4	1.0	4	iv	True	('D-', 'F', 'B-')	D-	B-	1	minor triad	(1, 5, 10)	F	F	4	None	iv	True	1
168	24	7.0	7	1.0	1	4	-1	2	4	4	7.0	D-2	37	True	D	-1	1/4	2.0	True	2	Cello	1	4	1.0	4	iv	True	('D-', 'F', 'B-')	D-	B-	1	minor triad	(1, 5, 10)	F	F	4	None	iv	True	b6
189	3	7.875	63/8	0.125	1/8	4	-1	2	4	4	7.875	G3	55	True	G	0	15/32	2.875	False	0	Cello	1	4	1.0	4	iv	False	('D-', 'F', 'B-')	D-	B-	1	minor triad	(1, 5, 10)	F	F	4	None	iv	True	2
192	6	8.0	8	0.25	1/4	5	-1	2	4	5	8.0	G3	55	True	G	0	0	1.0	True	1	Cello	1	5	1.0	5	V7	True	('C', 'E', 'G', 'B-')	C	C	0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None	V7	True	2
192	6	8.0	8	0.25	1/4	5	-1	2	4	5	8.0	E4	64	True	E	0	0	1.0	True	1	Cello	1	5	1.0	5	V7	True	('C', 'E', 'G', 'B-')	C	C	0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None	V7	True	7
192	12	8.0	8	0.5	1/2	5	-1	2	4	5	8.0	E3	52	True	E	0	0	1.0	True	1	Cello	1	5	1.0	5	V7	True	('C', 'E', 'G', 'B-')	C	C	0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None	V7	True	7
192	12	8.0	8	0.5	1/2	5	-1	2	4	5	8.0	C2	36	True	C	0	0	1.0	True	1	Cello	1	5	1.0	5	V7	True	('C', 'E', 'G', 'B-')	C	C	0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None	V7	True	5
198	3	8.25	33/4	0.125	1/8	5	-1	2	4	5	8.25	E5	76	True	E	0	1/16	1.25	False	0	Cello	1	5	1.0	5	V7	False	('C', 'E', 'G', 'B-')	C	C	0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None	V7	True	7
198	3	8.25	33/4	0.125	1/8	5	-1	2	4	5	8.25	G4	67	True	G	0	1/16	1.25	False	0	Cello	1	5	1.0	5	V7	False	('C', 'E', 'G', 'B-')	C	C	0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None	V7	True	2
201	3	8.375	67/8	0.125	1/8	5	-1	2	4	5	8.375	F5	77	True	F	0	3/32	1.375	False	0	Cello	1	5	1.0	5	V7	False	('C', 'E', 'G', 'B-')	C	C	0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None	V7	True	1
201	3	8.375	67/8	0.125	1/8	5	-1	2	4	5	8.375	A4	69	True	A	0	3/32	1.375	False	0	Cello	1	5	1.0	5	V7	False	('C', 'E', 'G', 'B-')	C	C	0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None	V7	True	3
204	12	8.5	17/2	0.5	1/2	5	-1	2	4	5	8.5	G5	79	True	G	0	1/8	1.5	False	0	Cello	1	5	1.0	5	V7	False	('C', 'E', 'G', 'B-')	C	C	0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None	V7	True	2
204	12	8.5	17/2	0.5	1/2	5	-1	2	4	5	8.5	B-4	70	True	B	-1	1/8	1.5	False	0	Cello	1	5	1.0	5	V7	False	('C', 'E', 'G', 'B-')	C	C	0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None	V7	True	4
225	3	9.375	75/8	0.125	1/8	5	-1	2	4	5	9.375	G3	55	True	G	0	11/32	2.375	False	0	Cello	1	5	1.0	5	V7	False	('C', 'E', 'G', 'B-')	C	C	0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None	V7	True	2
228	6	9.5	19/2	0.25	1/4	5	-1	2	4	5	9.5	C3	48	True	C	0	3/8	2.5	False	0	Cello	1	5	1.0	5	V7	False	('C', 'E', 'G', 'B-')	C	C	0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None	V7	True	5
228	12	9.5	19/2	0.5	1/2	5	-1	2	4	5	9.5	B-2	46	True	B	-1	3/8	2.5	False	0	Cello	1	5	1.0	5	V7	False	('C', 'E', 'G', 'B-')	C	C	0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None	V7	True	4
234	6	9.75	39/4	0.25	1/4	5	-1	2	4	5	9.75	E3	52	True	E	0	7/16	2.75	False	0	Cello	1	5	1.0	5	V7	False	('C', 'E', 'G', 'B-')	C	C	0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None	V7	True	7
240	12	10.0	10	0.5	1/2	6	-1	2	4	6	10.0	F3	53	True	F	0	0	1.0	True	1	Cello	1	6	0.5	7	I	True	('A', 'C', 'F')	A	F	1	major triad	(0, 5, 9)	F	F	1	None	I	True	1
240	12	10.0	10	0.5	1/2	6	-1	2	4	6	10.0	A2	45	True	A	0	0	1.0	True	1	Cello	1	6	0.5	7	I	True	('A', 'C', 'F')	A	F	1	major triad	(0, 5, 9)	F	F	1	None	I	True	3
249	3	10.375	83/8	0.125	1/8	6	-1	2	4	6	10.375	A4	69	True	A	0	3/32	1.375	False	0	Cello	1	6	0.5	7	I	False	('A', 'C', 'F')	A	F	1	major triad	(0, 5, 9)	F	F	1	None	I	True	3
252	6	10.5	21/2	0.25	1/4	6	-1	2	4	6	10.5	C4	60	True	C	0	1/8	1.5	False	0	Cello	1	6	0.5	8	I	True	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	F	F	1	None	I	True	5
252	12	10.5	21/2	0.5	1/2	6	-1	2	4	6	10.5	F2	41	True	F	0	1/8	1.5	False	0	Cello	1	6	0.5	8	I	True	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	F	F	1	None	I	True	1
258	6	10.75	43/4	0.25	1/4	6	-1	2	4	6	10.75	F4	65	True	F	0	3/16	1.75	False	0	Cello	1	6	0.5	8	I	False	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	F	F	1	None	I	True	1
264	12	11.0	11	0.5	1/2	6	-1	2	4	6	11.0	G4	67	True	G	0	1/4	2.0	True	2	Cello	1	6	0.5	9	V7	True	('E', 'G', 'B-', 'C')	E	C	1	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None	V7	True	2
264	12	11.0	11	0.5	1/2	6	-1	2	4	6	11.0	E2	40	True	E	0	1/4	2.0	True	2	Cello	1	6	0.5	9	V7	True	('E', 'G', 'B-', 'C')	E	C	1	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None	V7	True	7
273	3	11.375	91/8	0.125	1/8	6	-1	2	4	6	11.375	B-4	70	True	B	-1	11/32	2.375	False	0	Cello	1	6	0.5	9	V7	False	('E', 'G', 'B-', 'C')	E	C	1	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None	V7	True	4
276	6	11.5	23/2	0.25	1/4	6	-1	2	4	6	11.5	C4	60	True	C	0	3/8	2.5	False	0	Cello	1	6	0.5	10	V7	True	('C', 'E', 'G', 'B-')	C	C	0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None	V7	True	5
276	12	11.5	23/2	0.5	1/2	6	-1	2	4	6	11.5	C2	36	True	C	0	3/8	2.5	False	0	Cello	1	6	0.5	10	V7	True	('C', 'E', 'G', 'B-')	C	C	0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None	V7	True	5
282	6	11.75	47/4	0.25	1/4	6	-1	2	4	6	11.75	G4	67	True	G	0	7/16	2.75	False	0	Cello	1	6	0.5	10	V7	False	('C', 'E', 'G', 'B-')	C	C	0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None	V7	True	2
288	9	12.0	12	0.375	3/8	7	-1	2	4	7	12.0	A4	69	True	A	0	0	1.0	True	1	Cello	1	7	2.0	11	I	True	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	F	F	1	None	I	True	3
297	3	12.375	99/8	0.125	1/8	7	-1	2	4	7	12.375	B-4	70	True	B	-1	3/32	1.375	False	0	Cello	1	7	2.0	11	I	False	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	F	F	1	None	I	True	4
300	24	12.5	25/2	1.0	1	7	-1	2	4	7	12.5	C5	72	True	C	0	1/8	1.5	False	0	Cello	1	7	2.0	11	I	False	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	F	F	1	None	I	True	5
