onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ks_fifths	ts_beats	ts_beat_type	measureNumberWithSuffix	onset_beat	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	is_downbeat	downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral	valid_chord_label	note_degree
0	3	0.0	0	0.125	1/8	0	1	4	16	0	0.0	D5	74	True	D	0	0	1.0	True	1	P2-Staff2	1	0	0.5	0	V	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	G	G	5	None	V	True	5
3	3	0.125	1/8	0.125	1/8	0	1	4	16	0	0.5	E5	76	True	E	0	1/32	1.5	False	0	P2-Staff2	1	0	0.5	0	V	False	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	G	G	5	None	V	True	6
6	3	0.25	1/4	0.125	1/8	0	1	4	16	0	1.0	F#5	78	True	F	1	1/16	2.0	True	2	P2-Staff2	1	0	0.5	0	V	False	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	G	G	5	None	V	True	7
9	3	0.375	3/8	0.125	1/8	0	1	4	16	0	1.5	G5	79	True	G	0	3/32	2.5	False	0	P2-Staff2	1	0	0.5	0	V	False	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	G	G	5	None	V	True	1
12	3	0.5	1/2	0.125	1/8	1	1	4	16	1	2.0	A5	81	True	A	0	0	1.0	True	1	P2-Staff2	1	1	0.25	1	I	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	1	None	I	True	2
12	6	0.5	1/2	0.25	1/4	1	1	4	16	1	2.0	G2	43	True	G	0	0	1.0	True	1	P2-Staff2	1	1	0.25	1	I	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	1	None	I	True	1
15	3	0.625	5/8	0.125	1/8	1	1	4	16	1	2.5	B5	83	True	B	0	1/32	1.5	False	0	P2-Staff2	1	1	0.25	1	I	False	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	1	None	I	True	3
18	3	0.75	3/4	0.125	1/8	1	1	4	16	1	3.0	A5	81	True	A	0	1/16	2.0	True	2	P2-Staff2	1	1	0.75	2	V	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	G	G	5	None	V	True	2
18	6	0.75	3/4	0.25	1/4	1	1	4	16	1	3.0	D3	50	True	D	0	1/16	2.0	True	2	P2-Staff2	1	1	0.75	2	V	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	G	G	5	None	V	True	5
18	6	0.75	3/4	0.25	1/4	1	1	4	16	1	3.0	A3	57	True	A	0	1/16	2.0	True	2	P2-Staff2	1	1	0.75	2	V	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	G	G	5	None	V	True	2
21	3	0.875	7/8	0.125	1/8	1	1	4	16	1	3.5	F#5	78	True	F	1	3/32	2.5	False	0	P2-Staff2	1	1	0.75	2	V	False	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	G	G	5	None	V	True	7
24	3	1.0	1	0.125	1/8	1	1	4	16	1	4.0	D5	74	True	D	0	1/8	3.0	True	3	P2-Staff2	1	1	0.75	2	V	False	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	G	G	5	None	V	True	5
