s_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset
0.0	1.0	1	['G#2', 'G#3']	['P1']	[True, True]
1.0	1.0	1	['D#3', 'D#4']	['P1']	[True, True]
2.0	1.0	1	['B3', 'B4']	['P1']	[True, True]
3.0	1.0	1	['A#3', 'A#4']	['P1']	[True, True]
4.0	1.0	2	['G#3', 'G#4']	['P1']	[True, True]
5.0	1.0	2	['F#3', 'F#4']	['P1']	[True, True]
6.0	1.0	2	['E3', 'E4']	['P1']	[True, True]
7.0	1.0	2	['D#3', 'D#4', 'G#4']	['P1', 'P4']	[True, True, True]
8.0	1.0	3	['C#3', 'C#4', 'E5']	['P1', 'm3']	[True, True, True]
9.0	1.0	3	['G#3', 'G#4', 'E5']	['P1', 'm6']	[True, True, False]
10.0	1.0	3	['G#4', 'E5']	['m6']	[True, True]
11.0	1.0	3	['F#4', 'A4', 'B#4', 'D#5']	['m3', 'A4', 'M6']	[True, True, True, True]
12.0	1.0	4	['E4', 'G#4', 'C#5']	['M3', 'M6']	[True, True, True]
13.0	1.0	4	['D4', 'F4', 'G#4', 'B4']	['m3', 'A4', 'M6']	[True, True, True, True]
14.0	1.0	4	['C#4', 'E4', 'A4']	['m3', 'm6']	[True, True, True]
15.0	1.0	4	['B3', 'D4', 'E#4', 'G#4']	['m3', 'A4', 'M6']	[True, True, True, True]
16.0	1.0	5	['A3', 'C#4', 'F#4']	['M3', 'M6']	[True, True, True]
17.0	1.0	5	['A3', 'C#4', 'F#4', 'E5']	['M3', 'M6', 'P5']	[False, False, False, True]
18.0	1.0	5	['A2', 'C#4', 'F##4', 'E5']	['M3', 'A6', 'P5']	[True, True, True, False]
19.0	0.5	5	['A2', 'C#4', 'F##4', 'D#5']	['M3', 'A6', 'A4']	[False, False, False, True]
19.5	0.5	5	['A2', 'C#4', 'F##4', 'C#5']	['M3', 'A6', 'M3']	[False, False, False, True]
20.0	1.0	6	['G#2', 'G#3', 'D#4', 'G#4', 'B#4']	['P1', 'P5', 'P1', 'M3']	[True, True, True, True, True]
21.0	1.0	6	['G#2', 'G#3', 'B#3']	['P1', 'M3']	[False, False, True]
22.0	1.0	6	['B#3', 'D#4']	['m3']	[True, True]
23.0	1.0	6	['B#2', 'B#3', 'D#4', 'G#4']	['P1', 'm3', 'm6']	[True, True, True, True]
24.0	1.0	7	['C#3', 'C#4', 'E4', 'A4']	['P1', 'm3', 'm6']	[True, True, True, True]
25.0	1.0	7	['C#3', 'G3', 'E4', 'A#4']	['d5', 'm3', 'M6']	[False, True, False, True]
26.0	1.0	7	['B2', 'F#3', 'D#4', 'A4', 'C#5']	['P5', 'M3', 'm7', 'M2']	[True, True, True, True, True]
27.0	0.5	7	['B2', 'B3', 'D#4', 'F#4', 'A4', 'C#5']	['P1', 'M3', 'P5', 'm7', 'M2']	[False, True, False, True, True, False]
27.5	0.5	7	['B2', 'B3', 'D#4', 'F#4', 'A4']	['P1', 'M3', 'P5', 'm7']	[False, False, False, False, False]
28.0	1.0	8	['E3', 'B3', 'E4', 'G#4']	['P5', 'P1', 'M3']	[True, True, True, True]
29.0	1.0	8	['E3', 'G#3', 'B3', 'E4']	['M3', 'P5', 'P1']	[False, True, True, True]
30.0	1.0	8	['B3', 'E4', 'G#4']	['P4', 'M6']	[True, True, True]
31.0	1.0	8	['G#3', 'E4', 'B4']	['m6', 'm3']	[True, True, True]
32.0	1.0	9	['F#3', 'D#4', 'A4', 'B#4']	['M6', 'm3', 'A4']	[True, True, True, True]
33.0	1.0	9	['E3', 'C#4', 'G#4', 'C#5']	['M6', 'M3', 'M6']	[True, True, True, True]
34.0	1.0	9	['D#3', 'D#4', 'F##4', 'C#5', 'E5']	['P1', 'M3', 'm7', 'm2']	[True, True, True, True, True]
35.0	0.5	9	['D#3', 'D#4', 'F##4', 'A#4', 'C#5', 'E5']	['P1', 'M3', 'P5', 'm7', 'm2']	[False, False, False, True, True, False]
35.5	0.5	9	['D#3', 'D#4', 'F##4', 'A#4', 'C#5']	['P1', 'M3', 'P5', 'm7']	[False, False, False, False, False]
36.0	1.0	10	['G#2', 'G#3', 'G#4', 'B#4']	['P1', 'P1', 'M3']	[True, True, True, True]
37.0	0.5	10	['B#3', 'D#4', 'G#4', 'G#5']	['m3', 'm6', 'm6']	[True, True, True, True]
37.5	0.5	10	['B#3', 'D#4', 'G#4', 'G#5']	['m3', 'm6', 'm6']	[False, False, False, False]
38.0	0.5	10	['G#3', 'C#4', 'E4', 'A4', 'B4', 'G#5']	['P4', 'm6', 'm2', 'm3', 'P1']	[True, True, True, True, True, False]
38.5	0.5	10	['G#3', 'C#4', 'E4', 'A4', 'G#5']	['P4', 'm6', 'm2', 'P1']	[False, False, False, False, False]
39.0	0.5	10	['G#3', 'D#4', 'F#4', 'A4', 'F#5']	['P5', 'm7', 'm2', 'm7']	[False, True, True, False, True]
39.5	0.5	10	['G#3', 'D#4', 'F#4', 'A4', 'F#5']	['P5', 'm7', 'm2', 'm7']	[False, False, False, False, False]
40.0	0.5	11	['G#3', 'B#3', 'D#4', 'G#4', 'A4', 'F#5']	['M3', 'P5', 'P1', 'm2', 'm7']	[False, True, True, True, True, False]
40.5	0.5	11	['G#3', 'B#3', 'D#4', 'G#4', 'F#5']	['M3', 'P5', 'P1', 'm7']	[False, False, False, False, False]
41.0	0.5	11	['G#3', 'C#4', 'E4', 'G#4', 'E5']	['P4', 'm6', 'P1', 'm6']	[False, True, True, False, True]
41.5	0.5	11	['G#3', 'C#4', 'E4', 'G#4', 'E5']	['P4', 'm6', 'P1', 'm6']	[False, False, False, False, False]
42.0	0.5	11	['G#3', 'A#3', 'C#4', 'F#4', 'G#4', 'E5']	['M2', 'P4', 'm7', 'P1', 'm6']	[False, True, True, True, True, False]
42.5	0.5	11	['G#3', 'A#3', 'C#4', 'F#4', 'E5']	['M2', 'P4', 'm7', 'm6']	[False, False, False, False, False]
43.0	0.5	11	['G#3', 'B#3', 'D#4', 'F#4', 'D#5']	['M3', 'P5', 'm7', 'P5']	[False, True, True, False, True]
43.5	0.5	11	['G#3', 'B#3', 'D#4', 'F#4', 'D#5']	['M3', 'P5', 'm7', 'P5']	[False, False, False, False, False]
