quarterbeats	mn	mn_onset	a_duration	a_annotationNumber	label	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	localkey_abs	globalkey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral	valid_chord_label
0.0	1	0	3.0	0	i	i	True	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	c	c	1	None	i	True
3.0	2	0	3.0	1	i	i	True	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	c	c	1	None	i	True
6.0	3	0	1.0	2	i	i	True	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	c	c	1	None	i	True
7.0	3	1/4	1.0	3	i6	i	True	('E-', 'G', 'C')	E-	C	1	minor triad	(0, 3, 7)	c	c	c	c	1	None	i	True
8.0	3	1/2	1.0	4	i	i	True	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	c	c	1	None	i	True
9.0	4	0	3.0	5	viio43	viio7	True	('F', 'A-', 'B', 'D')	F	B	2	diminished seventh chord	(2, 5, 8, 11)	c	c	c	c	#7	None	viio7	True
12.0	5	0	3.0	6	V6/V	V/V	True	('F#', 'A', 'D')	F#	D	1	major triad	(2, 6, 9)	c	c	c	G	5	5	V	True
15.0	6	0	3.0	7	V6/V	V/V	True	('F#', 'A', 'D')	F#	D	1	major triad	(2, 6, 9)	c	c	c	G	5	5	V	True
18.0	7	0	1.0	8	i64	i	True	('G', 'C', 'E-')	G	C	2	minor triad	(0, 3, 7)	c	c	c	c	1	None	i	True
19.0	7	1/4	1.0	9	i54	i54	True	('G', 'C', 'D')	G	C	2	quartal trichord	(0, 2, 7)	c	c	c	c	1	None	i	True
20.0	7	1/2	1.0	10	III+6	III+	True	('G', 'B', 'E-')	G	E-	1	augmented triad	(3, 7, 11)	c	c	c	c	3	None	III+	True
21.0	8	0	3.0	11	i	i	True	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	c	c	1	None	i	True
24.0	9	0	3.0	12	i	i	True	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	c	c	1	None	i	True
27.0	10	0	3.0	13	i	i	True	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	c	c	1	None	i	True
30.0	11	0	3.0	14	i	i	True	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	c	c	1	None	i	True
33.0	12	0	3.0	15	viio6/V	viio/V	True	('A', 'C', 'F#')	A	F#	1	diminished triad	(0, 6, 9)	c	c	c	G	7	5	viio	True
36.0	13	0	1.0	16	i64	V	True	('G', 'C', 'E-')	G	G	0	major triad	(0, 3, 7)	c	c	c	c	5	None	V	True
37.0	13	1/4	1.0	17	V	V	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	c	c	c	c	5	None	V	True
38.0	13	1/2	0.75	18	i6	i	True	('E-', 'G', 'C')	E-	C	1	minor triad	(0, 3, 7)	c	c	c	c	1	None	i	True
38.75	13	11/16	0.25	19	V64	V	True	('D', 'G', 'B')	D	G	2	major triad	(2, 7, 11)	c	c	c	c	5	None	V	True
39.0	14	0	0.75	20	i	i	True	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	c	c	1	None	i	True
39.75	14	3/16	0.25	21	V42/IV	V7/IV	True	('B-', 'C', 'E', 'G')	B-	C	3	dominant seventh chord	(0, 4, 7, 10)	c	c	c	F	5	4	V7	True
40.0	14	1/4	1.0	22	IV65	IV7	True	('A', 'C', 'E-', 'F')	A	F	1	dominant seventh chord	(0, 3, 5, 9)	c	c	c	c	4	None	IV7	True
41.0	14	1/2	1.0	23	Ger65	Ger7	True	('A-', 'C', 'E-', 'F#')	A-	F#	1	German augmented sixth chord	(0, 3, 6, 8)	c	c	c	c	#4	None	Ger7	True
42.0	15	0	1.0	24	i64	V	True	('G', 'C', 'E-')	G	G	0	major triad	(0, 3, 7)	c	c	c	c	5	None	V	True
43.0	15	1/4	2.0	25	V	V	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	c	c	c	c	5	None	V	True
45.0	16	0	1.0	26	V	V	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	c	c	c	c	5	None	V	True
46.0	16	1/4	2.0	27	viio42	viio7	True	('A-', 'B', 'D', 'F')	A-	B	3	diminished seventh chord	(2, 5, 8, 11)	c	c	c	c	#7	None	viio7	True
48.0	17	0	1.0	28	V65/V	V7/V	True	('F#', 'A', 'C', 'D')	F#	D	1	dominant seventh chord	(0, 2, 6, 9)	c	c	c	G	5	5	V7	True
49.0	17	1/4	2.0	29	V	V	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	c	c	c	c	5	None	V	True
51.0	18	0	1.0	30	V	V	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	c	c	c	c	5	None	V	True
52.0	18	1/4	1.75	31	iio64	iio	True	('A-', 'D', 'F')	A-	D	2	diminished triad	(2, 5, 8)	c	c	c	c	2	None	iio	True
53.75	18	11/16	0.25	32	V	V	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	c	c	c	c	5	None	V	True
54.0	19	0	1.0	33	V/V	V/V	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	c	c	c	G	5	5	V	True
55.0	19	1/4	2.0	34	V	V	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	c	c	c	c	5	None	V	True
57.0	20	0	0.75	35	I	I	True	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	E-	Eb	c	E-	1	None	I	True
57.75	20	3/16	0.25	36	iv6	iv	True	('C-', 'E-', 'A-')	C-	A-	1	minor triad	(3, 8, 11)	E-	Eb	c	E-	4	None	iv	True
58.0	20	1/4	1.0	37	I64	V	True	('B-', 'E-', 'G')	B-	B-	0	major triad	(3, 7, 10)	E-	Eb	c	E-	5	None	V	True
59.0	20	1/2	1.0	38	V	V	True	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	E-	Eb	c	E-	5	None	V	True
60.0	21	0	3.0	39	viio65/v	viio7/v	True	('C', 'E-', 'G-', 'A')	C	A	1	diminished seventh chord	(0, 3, 6, 9)	E-	Eb	c	b-	#7	5	viio7	True
63.0	22	0	2.0	40	viio65/v	viio7/v	True	('C', 'E-', 'G-', 'A')	C	A	1	diminished seventh chord	(0, 3, 6, 9)	E-	Eb	c	b-	#7	5	viio7	True
65.0	22	1/2	1.0	41	I64	I	True	('B-', 'E-', 'G')	B-	E-	2	major triad	(3, 7, 10)	E-	Eb	c	E-	1	None	I	True
66.0	23	0	3.0	42	V6/v	V/v	True	('A', 'C', 'F')	A	F	1	major triad	(0, 5, 9)	E-	Eb	c	b-	5	5	V	True
69.0	24	0	2.0	43	viio43	viio7	True	('A-', 'C-', 'D', 'F')	A-	D	2	diminished seventh chord	(2, 5, 8, 11)	E-	Eb	c	E-	7	None	viio7	True
71.0	24	1/2	1.0	44	It6	It	True	('A-', 'C', 'F#')	A-	F#	1	Italian augmented sixth chord	(0, 6, 8)	c	c	c	c	#4	None	It	True
72.0	25	0	3.0	45	V	V	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	c	c	c	c	5	None	V	True
75.0	26	0	3.0	46	i64	V	True	('G', 'C', 'E-')	G	G	0	major triad	(0, 3, 7)	c	c	c	c	5	None	V	True
78.0	27	0	2.0	47	V	V	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	c	c	c	c	5	None	V	True
80.0	27	1/2	1.0	48	i	i	True	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	c	c	1	None	i	True
81.0	28	0	3.0	49	V	V	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	c	c	c	c	5	None	V	True
84.0	29	0	4.0	50	I	I	True	('A-', 'C', 'E-')	A-	A-	0	major triad	(0, 3, 8)	A-	Ab	c	A-	1	None	I	True
88.0	30	0	4.0	51	I	I	True	('A-', 'C', 'E-')	A-	A-	0	major triad	(0, 3, 8)	A-	Ab	c	A-	1	None	I	True
