quarterbeats	mn	mn_onset	a_duration	a_annotationNumber	label	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	localkey_abs	globalkey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral	valid_chord_label
0.0	1	0	1.0	0	i	i	True	('F#', 'A', 'C#')	F#	F#	0	minor triad	(1, 6, 9)	f#	f#	f#	f#	1	None	i	True
1.0	1	1/4	1.0	1	iv64	iv	True	('F#', 'B', 'D')	F#	B	2	minor triad	(2, 6, 11)	f#	f#	f#	f#	4	None	iv	True
2.0	1	1/2	1.0	2	i	i	True	('F#', 'A', 'C#')	F#	F#	0	minor triad	(1, 6, 9)	f#	f#	f#	f#	1	None	i	True
3.0	1	3/4	1.0	3	iiø42	iiø7	True	('F#', 'G#', 'B', 'D')	F#	G#	3	half-diminished seventh chord	(2, 6, 8, 11)	f#	f#	f#	f#	2	None	ii%7	True
4.0	2	0	1.0	4	i	i	True	('F#', 'A', 'C#')	F#	F#	0	minor triad	(1, 6, 9)	f#	f#	f#	f#	1	None	i	True
5.0	2	1/4	1.0	5	i	i	True	('F#', 'A', 'C#')	F#	F#	0	minor triad	(1, 6, 9)	f#	f#	f#	f#	1	None	i	True
6.0	2	1/2	1.0	6	III+	III+	True	('E', 'G#', 'B#')	E	E	0	augmented triad	(0, 4, 8)	c#	c#	f#	c#	3	None	III+	True
7.0	2	3/4	1.0	7	V43[no3]	V7	True	('D#', 'F#', 'G#')	D#	G#	2	incomplete dominant-seventh chord	(3, 6, 8)	c#	c#	f#	c#	5	None	V7	True
8.0	3	0	1.0	8	i	i	True	('C#', 'E', 'G#')	C#	C#	0	minor triad	(1, 4, 8)	c#	c#	f#	c#	1	None	i	True
9.0	3	1/4	1.0	9	iv	iv	True	('F#', 'A', 'C#')	F#	F#	0	minor triad	(1, 6, 9)	c#	c#	f#	c#	4	None	iv	True
10.0	3	1/2	1.0	10	ii[no5]	ii	True	('B', 'D')	B	B	0	Minor Third	(2, 11)	A	A	f#	A	2	None	ii	True
11.0	3	3/4	1.0	11	V7	V7	True	('E', 'G#', 'B', 'D')	E	E	0	dominant seventh chord	(2, 4, 8, 11)	A	A	f#	A	5	None	V7	True
