quarterbeats	mn	mn_onset	a_duration	a_annotationNumber	label	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	localkey_abs	globalkey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral	valid_chord_label
0.0	1	0	3.0	0	iio6	iio	True	('B', 'D', 'G#')	B	G#	1	diminished triad	(2, 8, 11)	F#	F#	F#	F#	2	None	iio	True
3.0	2	0	3.0	1	iio6	iio	True	('B', 'D', 'G#')	B	G#	1	diminished triad	(2, 8, 11)	F#	F#	F#	F#	2	None	iio	True
6.0	3	0	1.0	2	iio6	iio	True	('B', 'D', 'G#')	B	G#	1	diminished triad	(2, 8, 11)	F#	F#	F#	F#	2	None	iio	True
7.0	3	1/4	2.0	3	ii6	ii	True	('B', 'D#', 'G#')	B	G#	1	minor triad	(3, 8, 11)	F#	F#	F#	F#	2	None	ii	True
9.0	4	0	3.0	4	ii6	ii	True	('B', 'D#', 'G#')	B	G#	1	minor triad	(3, 8, 11)	F#	F#	F#	F#	2	None	ii	True
12.0	5	0	1.0	5	ii6	ii	True	('B', 'D#', 'G#')	B	G#	1	minor triad	(3, 8, 11)	F#	F#	F#	F#	2	None	ii	True
13.0	5	1/4	2.0	6	V7	V7	True	('C#', 'E#', 'G#', 'B')	C#	C#	0	dominant seventh chord	(1, 5, 8, 11)	F#	F#	F#	F#	5	None	V7	True
15.0	6	0	3.0	7	I	I	True	('F#', 'A#', 'C#')	F#	F#	0	major triad	(1, 6, 10)	F#	F#	F#	F#	1	None	I	True
18.0	7	0	1.5	8	i	i	True	('F#', 'A', 'C#')	F#	F#	0	minor triad	(1, 6, 9)	F#	F#	F#	F#	1	None	i	True
19.5	7	3/8	1.5	9	I	I	True	('F#', 'A#', 'C#')	F#	F#	0	major triad	(1, 6, 10)	F#	F#	F#	F#	1	None	I	True
21.0	8	0	3.0	10	Ger43	Ger7	True	('F#', 'A', 'B#', 'D')	F#	B#	2	enharmonic to dominant seventh chord	(0, 2, 6, 9)	F#	F#	F#	F#	#4	None	Ger7	True
24.0	9	0	3.0	11	I	I	True	('F#', 'A#', 'C#')	F#	F#	0	major triad	(1, 6, 10)	F#	F#	F#	F#	1	None	I	True
27.0	10	0	3.0	12	V7	V7	True	('F#', 'A#', 'C#', 'E')	F#	F#	0	dominant seventh chord	(1, 4, 6, 10)	B	B	F#	B	5	None	V7	True
30.0	11	0	3.0	13	viio6/bi	viio/bi	True	('C', 'E-', 'A')	C	A	1	diminished triad	(0, 3, 9)	B	B	F#	b-	#7	-1	viio	True
33.0	12	0	3.0	14	IV	IV	True	('E', 'G#', 'B')	E	E	0	major triad	(4, 8, 11)	B	B	F#	B	4	None	IV	True
36.0	13	0	3.0	15	viio/bIV	viio/bIV	True	('D', 'F', 'A-')	D	D	0	diminished triad	(2, 5, 8)	B	B	F#	E-	7	-4	viio	True
39.0	14	0	2.0	16	I6	I	True	('D#', 'F#', 'B')	D#	B	1	major triad	(3, 6, 11)	B	B	F#	B	1	None	I	True
41.0	14	1/2	0.5	17	viio/v	viio/v	True	('E#', 'G#', 'B')	E#	E#	0	diminished triad	(5, 8, 11)	B	B	F#	f#	#7	5	viio	True
41.5	14	5/8	0.5	18	V	V	True	('F#', 'A#', 'C#')	F#	F#	0	major triad	(1, 6, 10)	B	B	F#	B	5	None	V	True
42.0	15	0	3.0	19	iv6	iv	True	('G', 'B', 'E')	G	E	1	minor triad	(4, 7, 11)	B	B	F#	B	4	None	iv	True
45.0	16	0	3.0	20	V7/V	V7/V	True	('C#', 'E#', 'G#', 'B')	C#	C#	0	dominant seventh chord	(1, 5, 8, 11)	B	B	F#	F#	5	5	V7	True
48.0	17	0	3.0	21	V7	V7	True	('F#', 'A#', 'C#', 'E')	F#	F#	0	dominant seventh chord	(1, 4, 6, 10)	B	B	F#	B	5	None	V7	True
51.0	18	0	3.0	22	V65/IV	V7/IV	True	('D#', 'F#', 'A', 'B')	D#	B	1	dominant seventh chord	(3, 6, 9, 11)	B	B	F#	E	5	4	V7	True
54.0	19	0	1.5	23	V65/IV	V7/IV	True	('D#', 'F#', 'A', 'B')	D#	B	1	dominant seventh chord	(3, 6, 9, 11)	B	B	F#	E	5	4	V7	True
55.5	19	3/8	1.5	24	IV6	IV	True	('G#', 'B', 'E')	G#	E	1	major triad	(4, 8, 11)	B	B	F#	B	4	None	IV	True
57.0	20	0	1.5	25	II43	II7	True	('G#', 'B', 'C#', 'E#')	G#	C#	2	dominant seventh chord	(1, 5, 8, 11)	B	B	F#	B	2	None	II7	True
58.5	20	3/8	1.0	26	V6	V	True	('A#', 'C#', 'F#')	A#	F#	1	major triad	(1, 6, 10)	B	B	F#	B	5	None	V	True
59.5	20	5/8	0.5	27	V64/vi	V/vi	True	('A#', 'D#', 'F##')	A#	D#	2	major triad	(3, 7, 10)	B	B	F#	g#	5	6	V	True
60.0	21	0	0.5	28	V64/vi	V/vi	True	('A#', 'D#', 'F##')	A#	D#	2	major triad	(3, 7, 10)	B	B	F#	g#	5	6	V	True
60.5	21	1/8	1.0	29	IV64	IV	True	('B', 'E', 'G#')	B	E	2	major triad	(4, 8, 11)	B	B	F#	B	4	None	IV	True
61.5	21	3/8	1.5	30	V9/iv	V9/iv	True	('B', 'D#', 'F#', 'A', 'C')	B	B	0	flat-ninth pentachord	(0, 3, 6, 9, 11)	B	B	F#	e	5	4	V9	True
63.0	22	0	2.0	31	V43	V7	True	('C#', 'E', 'F#', 'A#')	C#	F#	2	dominant seventh chord	(1, 4, 6, 10)	B	B	F#	B	5	None	V7	True
65.0	22	1/2	1.0	32	viio42	viio7	True	('G', 'A#', 'C#', 'E')	G	A#	3	diminished seventh chord	(1, 4, 7, 10)	B	B	F#	B	7	None	viio7	True
66.0	23	0	0.5	33	viio7	viio7	True	('A#', 'C#', 'E', 'G')	A#	A#	0	diminished seventh chord	(1, 4, 7, 10)	B	B	F#	B	7	None	viio7	True
66.5	23	1/8	1.0	34	V6	V	True	('A#', 'C#', 'F#')	A#	F#	1	major triad	(1, 6, 10)	B	B	F#	B	5	None	V	True
67.5	23	3/8	1.0	35	V	V	True	('F#', 'A#', 'C#')	F#	F#	0	major triad	(1, 6, 10)	B	B	F#	B	5	None	V	True
