,dtype,used_for,description
onset_div,Int64,input graph creation,Proportional integer position
duration_div,Int64,input graph creation,Proportional integer duration
onset_beat,float64,input graph creation,A continuous offset value measured in metrical beats whose durations depend on the denominators of the respective time signatures (and a measure's actual duration).
pitch,Int64,input graph creation,MIDI value
tpc,Int64,computing fields,"Tonal Pitch Class (0=C, -1=F, 1=G, etc., aka specific pitch, aka fifths)"
step,string,input graph creation,Note name without accidental (A-G)
alter,Int64,input graph creation,"Note accidental: [-3, 3]"
beat_float,float64,computing fields,"The decimal beat position of any event within the current measure. A measure in n/m meter is considered to consist of n beats that have duration of 1/m of a whole note; except if n is a multiple of 3 (6, 9, 12, but not 3), in which case a measure is considered to have n/3 beats of length 3/m whole notes. All positions that fall in between downbeats are scaled linearly. For example, the first for eigths in a 9/8 meter have beat floats 1, 1.333, 1.667, 2. Values are rounded to three decimals."
downbeat,Int64,training beat inference task,Adopts the integer values from beat_float and the value 0 for the rest.
is_downbeat,boolean,training beat inference task,"Indicates whether an event falls on a downbeat or not. Is False when downbeat == 0, True otherwise."
ts_beats,Int64,input graph creation,Numerator of the time signature
ts_beat_type,Int64,input graph creation,Denominator of the time signature
staff,Int64,input graph creation,"Number of the staff containing the note, 1 being the upper staff"
voice,Int64,input graph creation,"Notational layer containing the note: [1, 4]"
duration,object,computing fields,Note duration expressed as fraction of a whole note
is_note_onset,boolean,input graph creation,False when a note is tied to a previous one
ks_fifths,Int64,input graph creation,"Key signature: [-7, 7]"
mc,Int64,input graph metadata and informational purposes,"Measure count, ID of the measure-like object (non-unique in unfolded score)"
mc_playthrough,Int64,input graph metadata and informational purposes,"Measure count, unique in unfolded score"
mn,Int64,input graph metadata and informational purposes,Measure number as per conventions. One MN can be composed of several MC.
mn_playthrough,string,input graph creation,Conventional measure numbers but for unfolded score (means of identifying complete measures)
octave,Int64,input graph metadata and informational purposes,Octave of the note with 4 = middle octave. Does not always correspond to pitch // 12 - 1.
quarterbeats_playthrough,object,input graph creation,"Continuous offset (""qstamp"") in unfolded score"
section_start,boolean,training section inference task,"True for notes on the first position following a double/repeat bar line or section break. True values always correspond to the beginning of an MC, so a section beginning with a rest will not be taken into account."
a_isOnset,boolean,training harmony inference task,True for notes coinciding with a change in harmony.
cadence,string,computing fields,Original cadence label (my include cadence subtypes)
cadence_type,string,training cadence induction task,"Cadence label ∈ (PAC, IAC, HC, EC, DC, PC)"
phraseend,string,computing fields,Original phrase labels.
a_phraseend,boolean,training phrase inference task,"True for all notes that coincide with the structural ending of a phrase (i.e., the phrase can have a codetta after this position before the next one begins)."
unfolded_harmony_index,Int64,computing fields,Index of the labels in the original unfolded table (before merging it with the notes)
label,string,computing fields,Original annotation labels
alt_label,string,,
globalkey,string,,
localkey,string,,
pedal,string,,
chord,string,,
special,string,,
numeral,string,,
form,string,,
figbass,string,,
changes,string,,
relativeroot,string,,
chord_type,string,,
globalkey_is_minor,boolean,,
localkey_is_minor,boolean,,
chord_tones,object,,
added_tones,object,,
root,Int64,,
bass_note,Int64,,
globalkey_mode,string,,
localkey_mode,string,,
localkey_resolved,string,,
localkey_and_mode,string,,
root_roman,string,,
relativeroot_resolved,string,,
effective_localkey,string,,
effective_localkey_resolved,string,,
effective_localkey_is_minor,string,,
chord_reduced,string,,
chord_reduced_and_mode,string,,
pedal_resolved,string,,
chord_and_mode,string,,
applied_to_numeral,string,,
numeral_or_applied_to_numeral,string,,
a_simpleNumeral,string,,
a_degree1,string,training harmony inference task,"Chordal root expressed as scale degree, preceeded by '#' for sharps and '-' for flats,as music21 would output them. For applied chords, such as #vii/vi, the scale degree represents the numeral before the slash; the second part will be represented in a_degree2."
a_degree2,string,training harmony inference task,Only defined for applied chords where this value expresses the tonicized key as a scale degree of the localkey in vigour. The format is the same as for a_degree1.
globalkey_tpc,Int64,computing fields,"Root of the global key expressed as Tonal Pitch Class (0=C, -1=F, 1=G, etc., aka specific pitch, aka fifths)"
localkey_tpc,Int64,computing fields,"Root of the local key expressed as Tonal Pitch Class (0=C, -1=F, 1=G, etc., aka specific pitch, aka fifths)"
tonicized_tpc,Int64,computing fields,"Root of the tonicized key expressed as Tonal Pitch Class (0=C, -1=F, 1=G, etc., aka specific pitch, aka fifths)"
root_tpc,Int64,,
bass_note_tpc,Int64,,
a_root,string,,
a_bass,string,,
a_localKey,string,,
a_tonicizedKey,string,,
